SETTLEMENT_DATE,NATURAL_GAS_PRICE
2022-04-11,72.03800000000001
2022-04-12,72.717
2022-04-13,68.162
2022-04-14,53.29200000000001
2022-04-15,61.77100000000001
2022-04-16,37.784
2022-04-17,29.299
2022-04-18,52.525000000000006
2022-04-19,55.754999999999995
2022-04-20,51.257000000000005
2022-04-21,48.477
2022-04-22,47.229
2022-04-23,58.759
2022-04-24,63.342
2022-04-25,48.82500000000001
2022-04-26,50.469
2022-04-27,48.315999999999995
2022-04-28,44.528999999999996
2022-04-29,37.543
2022-04-30,26.741
2022-05-01,35.129
2022-05-02,43.594
2022-05-03,44.307
2022-05-04,39.245999999999995
2022-05-05,38.416
2022-05-06,28.887999999999998
2022-05-07,46.836000000000006
2022-05-08,37.626
2022-05-09,20.451999999999998
2022-05-10,7.407
2022-05-11,13.846
2022-05-12,17.463
2022-05-13,21.435
2022-05-14,30.943
2022-05-15,29.106
2022-05-16,39.903
2022-05-17,34.206
2022-05-18,19.554000000000002
2022-05-19,27.637999999999998
2022-05-20,26.930000000000003
2022-05-21,33.533
2022-05-22,41.727
2022-05-23,44.007
2022-05-24,41.222
2022-05-25,35.147
2022-05-26,31.012
2022-05-27,44.962
2022-05-28,53.947
2022-05-29,52.75000000000001
2022-05-30,54.322
2022-05-31,50.216
2022-06-01,38.809999999999995
2022-06-02,39.846
2022-06-03,42.32300000000001
2022-06-04,42.682
2022-06-05,47.599999999999994
2022-06-06,47.675000000000004
2022-06-07,43.398
2022-06-08,35.62500000000001
2022-06-09,14.633000000000001
2022-06-10,4.3
2022-06-11,37.949000000000005
2022-06-12,47.764
2022-06-13,49.93
2022-06-14,55.463
2022-06-15,68.66799999999999
2022-06-16,51.021
2022-06-17,48.321
2022-06-18,57.41
2022-06-19,62.438
2022-06-20,58.723000000000006
2022-06-21,64.404
2022-06-22,65.813
2022-06-23,64.717
2022-06-24,56.547
2022-06-25,48.620999999999995
2022-06-26,40.902
2022-06-27,46.325
2022-06-28,54.19200000000001
2022-06-29,56.971999999999994
2022-06-30,55.106
2022-07-01,54.369
2022-07-02,57.79
2022-07-03,58.209
2022-07-04,69.273
2022-07-05,80.93199999999999
2022-07-06,64.55
2022-07-07,71.71900000000001
2022-07-08,70.126
2022-07-09,69.97300000000001
2022-07-10,73.059
2022-07-11,77.019
2022-07-12,85.03500000000001
2022-07-13,92.999
2022-07-14,77.166
2022-07-15,64.094
2022-07-16,55.547000000000004
2022-07-17,53.583
2022-07-18,62.297000000000004
2022-07-19,63.918
2022-07-20,73.505
2022-07-21,86.09
2022-07-22,96.345
2022-07-23,87.53399999999999
2022-07-24,76.136
2022-07-25,85.164
2022-07-26,104.727
2022-07-27,114.773
2022-07-28,114.3
2022-07-29,101.478
2022-07-30,91.37600000000002
2022-07-31,94.749
2022-08-01,96.22999999999999
2022-08-02,85.45299999999999
2022-08-03,97.98700000000001
2022-08-04,94.28200000000001
2022-08-05,96.481
2022-08-06,83.08
2022-08-07,91.13799999999999
2022-08-08,98.639
2022-08-09,97.55000000000001
2022-08-10,102.12
2022-08-11,105.289
2022-08-12,119.647
2022-08-13,123.301
2022-08-14,123.718
2022-08-15,126.29899999999999
2022-08-16,128.45800000000003
2022-08-17,130.352
2022-08-18,128.54399999999998
2022-08-19,126.27199999999999
2022-08-20,123.893
2022-08-21,133.553
2022-08-22,152.12800000000001
2022-08-23,157.995
2022-08-24,169.53900000000002
2022-08-25,178.968
2022-08-26,183.251
2022-08-27,177.622
2022-08-28,185.048
2022-08-29,193.89000000000001
2022-08-30,162.526
2022-08-31,120.39099999999999
2022-09-01,118.94500000000001
2022-09-02,97.496
2022-09-03,89.704
2022-09-04,99.62899999999999
2022-09-05,97.44
2022-09-06,71.48100000000001
2022-09-07,64.379
2022-09-08,99.62300000000002
2022-09-09,114.607
2022-09-10,121.26200000000001
2022-09-11,120.76100000000001
2022-09-12,115.27100000000002
2022-09-13,117.83200000000001
2022-09-14,127.073
2022-09-15,111.001
2022-09-16,88.042
2022-09-17,77.904
2022-09-18,85.047
2022-09-19,88.58700000000002
2022-09-20,89.799
2022-09-21,80.313
2022-09-22,88.654
2022-09-23,80.062
2022-09-24,80.59100000000001
2022-09-25,69.372
2022-09-26,61.385
2022-09-27,72.024
2022-09-28,74.697
2022-09-29,75.376
2022-09-30,68.97
2022-10-01,73.137
2022-10-02,81.527
2022-10-03,69.58300000000001
2022-10-04,44.687999999999995
2022-10-05,43.57599999999999
2022-10-06,52.836
2022-10-07,57.983000000000004
2022-10-08,50.111000000000004
2022-10-09,54.059999999999995
2022-10-10,55.904
2022-10-11,58.837
